,product,link,review_count,star
93,[밀레본사] 인기 FW 다운 패딩 등산복 플리스 바지,https://www.11st.co.kr/products/3368175496?inpu=&trTypeCd=&trCtgrNo=,5132,4.5
94,서울드래곤시티 객실/조식PKG,https://www.11st.co.kr/products/4778162765?inpu=&trTypeCd=&trCtgrNo=,,
95,"[농할가25,520원] 순천농협 순천 배세트 5kg 7.5kg #7-10내 #12내",https://www.11st.co.kr/products/3042928739?inpu=&trTypeCd=&trCtgrNo=,1082,4.6
96,0Kcal 원에이엠 스파클링 6종 탄산수 탄산음료,https://www.11st.co.kr/products/3396405066?inpu=&trTypeCd=&trCtgrNo=,1079,4.8
97,네추럴웨이 뼈엔 엠비피 MBP 130mg 30캡슐 1개,https://www.11st.co.kr/products/3455663039?inpu=&trTypeCd=&trCtgrNo=,197,4.7
98,[11번가x연세우유] 올스탠다드 고소한두유 200ML*24팩,https://www.11st.co.kr/products/4280746140?inpu=&trTypeCd=&trCtgrNo=,1018,4.6
99,새부리형 KF94 100매 대형 전컬러 동일가 여름용 메디케이알 컬러마스크,https://www.11st.co.kr/products/3756480515?inpu=&trTypeCd=&trCtgrNo=,11019,4.5
100,올반 크런치 찰핫도그 30봉/곰표핫도그,https://www.11st.co.kr/products/2606794762?inpu=&trTypeCd=&trCtgrNo=,10220,4.7
101,[20%+T11%+묶음10%] 닥터지 추석 브랜드위크! 피부건강 선물기획 外 BEST (천만크림/슈,https://www.11st.co.kr/products/1686589429?inpu=&trTypeCd=&trCtgrNo=,45566,4.7
102,[15%즉할+최대67%할인] 레노마&페리미츠 가을준비! 티셔츠/긴바지/점퍼/레깅스/원피스,https://www.11st.co.kr/products/3796313503?inpu=&trTypeCd=&trCtgrNo=,503,4.6
103,[15%+15%]SOVO 간절기Best 여성구두 슬리퍼 뮬 슬링백 단화 로퍼 플랫 샌들 펌프스 정,https://www.11st.co.kr/products/1835339176?inpu=&trTypeCd=&trCtgrNo=,8742,4.4
104,"[T혜택가10,610원~]무디타 시그니처 주방 칼 3종 선물세트 올스텐 가위 채칼 베스트 주",https://www.11st.co.kr/products/4201317542?inpu=&trTypeCd=&trCtgrNo=,443,4.6
105,KF94 올국산 오나미 비움 디럭스 컬러마스크 50매 새부리형 대형 화이트 베이지 그레이,https://www.11st.co.kr/products/3889602375?inpu=&trTypeCd=&trCtgrNo=,3568,4.6
106,[쿠폰가10900]엘라스틴 실크리페어 샴푸 ×2개+린스1개/퍼퓸 샴푸,https://www.11st.co.kr/products/3773124095?inpu=&trTypeCd=&trCtgrNo=,13303,4.7
107,[올리비에스클로젯] 30%쿠폰 FW 신상 특가! 자켓/가디건/니트/블라우스外,https://www.11st.co.kr/products/1933588745?inpu=&trTypeCd=&trCtgrNo=,19398,4.1
108,"[100매 7,920원] 에어프라이 종이호일 소형 외 인기상품 모음!",https://www.11st.co.kr/products/4755220718?inpu=&trTypeCd=&trCtgrNo=,12,4.8
109,[최종82만]삼성전자 갤럭시북2 NT750XEW-A51A 인텔12세대 백라이트 가벼운 대학생추천,https://www.11st.co.kr/products/4493739900?inpu=&trTypeCd=&trCtgrNo=,71,4.9
110,[천원추가down]정직한 애견패드 대형 소형 20g X 400매 배변 강아지패드,https://www.11st.co.kr/products/1655892174?inpu=&trTypeCd=&trCtgrNo=,21180,4.7
111,CJ 스팸 11호/8호/6호/12호/3호/O호/1호 선물세트(쇼핑백포함),https://www.11st.co.kr/products/4063355889?inpu=&trTypeCd=&trCtgrNo=,2901,4.8
112,[ALL STANDARD] ECO 무라벨 생수 2L / 1L / 500ML 모음전,https://www.11st.co.kr/products/3342263875?inpu=&trTypeCd=&trCtgrNo=,28641,4.8
113,[찜20%+T11%]명절 선물의 정석! 미샤 추석 기획세트 외 스킨케어 최대 50%,https://www.11st.co.kr/products/2705496266?inpu=&trTypeCd=&trCtgrNo=,30742,4.7
114,[본사직영] 제주 삼다수 2L 12병,https://www.11st.co.kr/products/3917419596?inpu=&trTypeCd=&trCtgrNo=,2222,4.8
